"","vmin_vmin_boltz","vmin_r_boltz","fmo_e_homo_boltz","fmo_e_lumo_boltz","fmo_mu_boltz","fmo_eta_boltz","fmo_omega_boltz","somo_ra_boltz","somo_rc_boltz","nbo_P_boltz","nbo_P_ra_boltz","spindens_P_ra_boltz","nbo_P_rc_boltz","spindens_P_rc_boltz","nmr_P_boltz","nmrtens_sxx_P_boltz","nmrtens_syy_P_boltz","nmrtens_szz_P_boltz","efg_amp_P_boltz","efgtens_xx_P_boltz","efgtens_yy_P_boltz","efgtens_zz_P_boltz","nuesp_P_boltz","E_solv_cds_boltz","nbo_lp_P_percent_s_boltz","nbo_lp_P_occ_boltz","nbo_lp_P_e_boltz","nbo_bd_e_max_boltz","nbo_bd_e_avg_boltz","nbo_bds_e_min_boltz","nbo_bds_e_avg_boltz","nbo_bd_occ_min_boltz","nbo_bd_occ_avg_boltz","nbo_bds_occ_max_boltz","nbo_bds_occ_avg_boltz","E_solv_total_boltz","E_solv_elstat_boltz","E_oxidation_boltz","E_reduction_boltz","fukui_p_boltz","fukui_m_boltz","vbur_vtot_boltz","vbur_ratio_vbur_vtot_boltz","Pint_P_int_boltz","Pint_dP_boltz","Pint_P_min_boltz","Pint_P_max_boltz","volume_boltz","surface_area_boltz","sphericity_boltz","dipolemoment_boltz","dipolemoment_min","dipolemoment_max","dipolemoment_delta","dipolemoment_vburminconf","qpole_amp_boltz","qpole_amp_min","qpole_amp_max","qpole_amp_delta","qpole_amp_vburminconf","qpoletens_xx_boltz","qpoletens_xx_min","qpoletens_xx_max","qpoletens_xx_delta","qpoletens_xx_vburminconf","qpoletens_yy_boltz","qpoletens_yy_min","qpoletens_yy_max","qpoletens_yy_delta","qpoletens_yy_vburminconf","qpoletens_zz_boltz","qpoletens_zz_min","qpoletens_zz_max","qpoletens_zz_delta","qpoletens_zz_vburminconf","pyr_P_boltz","pyr_P_min","pyr_P_max","pyr_P_delta","pyr_P_vburminconf","pyr_alpha_boltz","pyr_alpha_min","pyr_alpha_max","pyr_alpha_delta","pyr_alpha_vburminconf","vbur_vbur_boltz","vbur_vbur_min","vbur_vbur_max","vbur_vbur_delta","vbur_vbur_vburminconf","vbur_qvbur_min_boltz","vbur_qvbur_min_min","vbur_qvbur_min_max","vbur_qvbur_min_delta","vbur_qvbur_min_vburminconf","vbur_qvbur_max_boltz","vbur_qvbur_max_min","vbur_qvbur_max_max","vbur_qvbur_max_delta","vbur_qvbur_max_vburminconf","vbur_qvtot_min_boltz","vbur_qvtot_min_min","vbur_qvtot_min_max","vbur_qvtot_min_delta","vbur_qvtot_min_vburminconf","vbur_qvtot_max_boltz","vbur_qvtot_max_min","vbur_qvtot_max_max","vbur_qvtot_max_delta","vbur_qvtot_max_vburminconf","vbur_max_delta_qvbur_boltz","vbur_max_delta_qvbur_min","vbur_max_delta_qvbur_max","vbur_max_delta_qvbur_delta","vbur_max_delta_qvbur_vburminconf","vbur_max_delta_qvtot_boltz","vbur_max_delta_qvtot_min","vbur_max_delta_qvtot_max","vbur_max_delta_qvtot_delta","vbur_max_delta_qvtot_vburminconf","vbur_ovbur_min_boltz","vbur_ovbur_min_max","vbur_ovbur_min_delta","vbur_ovbur_max_boltz","vbur_ovbur_max_min","vbur_ovbur_max_max","vbur_ovbur_max_delta","vbur_ovbur_max_vburminconf","vbur_ovtot_min_boltz","vbur_ovtot_min_max","vbur_ovtot_min_delta","vbur_ovtot_max_boltz","vbur_ovtot_max_min","vbur_ovtot_max_max","vbur_ovtot_max_delta","vbur_ovtot_max_vburminconf","vbur_near_vbur_boltz","vbur_near_vbur_min","vbur_near_vbur_max","vbur_near_vbur_delta","vbur_near_vbur_vburminconf","vbur_far_vbur_boltz","vbur_far_vbur_min","vbur_far_vbur_max","vbur_far_vbur_delta","vbur_far_vbur_vburminconf","vbur_near_vtot_boltz","vbur_near_vtot_min","vbur_near_vtot_max","vbur_near_vtot_delta","vbur_near_vtot_vburminconf","vbur_far_vtot_boltz","vbur_far_vtot_min","vbur_far_vtot_max","vbur_far_vtot_delta","vbur_far_vtot_vburminconf","sterimol_B1_boltz","sterimol_B1_min","sterimol_B1_max","sterimol_B1_delta","sterimol_B1_vburminconf","sterimol_B5_boltz","sterimol_B5_min","sterimol_B5_max","sterimol_B5_delta","sterimol_B5_vburminconf","sterimol_L_boltz","sterimol_L_min","sterimol_L_max","sterimol_L_delta","sterimol_L_vburminconf","sterimol_burB1_boltz","sterimol_burB1_min","sterimol_burB1_max","sterimol_burB1_delta","sterimol_burB1_vburminconf","sterimol_burB5_boltz","sterimol_burB5_min","sterimol_burB5_max","sterimol_burB5_delta","sterimol_burB5_vburminconf","sterimol_burL_boltz","sterimol_burL_min","sterimol_burL_max","sterimol_burL_delta","sterimol_burL_vburminconf","class","flag"
"L1",-0.062157458,1.826695808,-0.230615103,0.036187804,-0.09721365,0.266802907,0.017713373,0.128594504,-0.495212503,0.732884024,0.603527305,0.187182779,1.331120244,0.790572495,315.6998514,298.0305157,313.8003366,335.2687861,1.69009076,-0.695169915,-0.684754769,1.379924682,-54.19777261,-2.201650962,53.79206977,1.95376289,-0.317891961,-0.450245527,-0.450454297,0.200551486,0.201753861,1.969418655,1.970052166,0.027816784,0.026284174,-5.008722182,-2.80707122,0.298367866,0.082910438,0.129356719,0.59823622,151.6454891,0.314514032,16.24898608,3.06496945,11.38629328,26.42063314,193.1211225,189.4594703,0.852904772,1.279253038,1.260425958,1.335250168,0.074824209,1.335250168,2.653686938,2.333564803,3.899440923,1.56587612,3.899440923,1.200946474,0.955873718,1.779973816,0.824100097,1.76662627,0.957207251,0.684156873,1.410612206,0.726455334,1.410612206,-2.158153725,-3.177238476,-1.882113947,1.295124529,-3.177238476,0.951508365,0.919633776,0.957432681,0.037798906,0.92109431,15.08487935,14.14287605,19.75071279,5.607836738,19.57036577,47.69626725,43.82863455,49.58215605,5.753521504,43.82863455,10.47172461,9.635919582,11.24347504,1.607555454,9.794897089,13.40688539,12.72029241,14.93028894,2.209996535,13.44092071,27.67903988,22.29004866,31.51210228,9.222053611,28.13325089,44.63557389,44.23055204,46.18495171,1.954399668,44.82517405,2.500848474,1.392099095,5.213834703,3.821735607,3.629289151,13.8160545,8.11975199,22.28624188,14.16648988,13.73184306,0,0,0,13.40688539,12.72029241,14.93028894,2.209996535,13.44092071,0,0,0,44.63557389,44.23055204,46.18495171,1.954399668,44.82517405,47.69626725,43.82863455,49.58215605,5.753521504,43.82863455,0,0,0,0,0,150.9730276,149.4491828,152.8046924,3.355509573,149.8243927,0,0,0,0,0,3.198165116,2.973777114,3.397559601,0.423782487,2.985816975,4.82141752,4.78785632,4.889759727,0.101903407,4.821202198,6.137610207,5.759324075,6.79753254,1.038208465,6.744437235,3.198165116,2.973777114,3.397559601,0.423782487,2.985816975,4.82141752,4.78785632,4.889759727,0.101903407,4.821202198,6.137610207,5.759324075,6.79753254,1.038208465,6.744437235,"1",1
"L5",-0.067275049,1.781648593,-0.217024867,0.020780428,-0.098122219,0.237805294,0.020243809,0.090148622,-0.396203392,0.802522181,0.780564157,0.023098001,1.404488661,0.765905749,271.4718538,205.0078513,285.9171614,323.4904622,1.682547093,-0.711608016,-0.66188353,1.373491747,-54.20318078,-9.890414248,49.35908217,1.931092312,-0.288995946,-0.43280904,-0.436984181,0.201408912,0.20432279,1.94675187,1.954268712,0.044758281,0.036774379,-13.62277084,-3.732356589,0.268019405,0.055689058,0.021958025,0.60196648,394.1135588,0.163129584,19.67979422,3.718489833,11.95249584,31.45342836,495.6908896,387.4673105,0.781771957,1.202751491,1.141093591,1.278767095,0.137673504,1.211276719,3.534844287,2.947867365,4.48720924,1.539341875,4.48720924,2.032064031,1.6986202,2.237337213,0.538717013,2.192772169,0.750804917,0.410285681,1.445529708,1.035244027,1.445529708,-2.782868949,-3.638301877,-2.259092754,1.379209123,-3.638301877,0.882625579,0.842556737,0.891186263,0.048629526,0.844903298,23.89780413,22.92997772,28.27901811,5.349040391,28.03976884,64.29165019,58.92103871,75.44424044,16.52320173,58.92103871,13.92787071,10.98618249,14.29960844,3.313425945,10.98618249,18.8854979,16.97503254,28.98097207,12.00593953,17.85882198,61.28517904,48.0614834,68.98312759,20.92164419,62.493345,135.9743252,134.8561721,136.1448011,1.288629043,135.7218615,4.586042098,2.476702222,16.05882006,13.58211784,6.324585446,64.96786883,59.01182319,77.50284911,18.49102592,63.07897887,0,0,0,17.86026266,16.97503254,21.15446754,4.179434999,17.85882198,0,0,0,135.9742827,134.8561721,136.1448011,1.288629043,135.7218615,63.26742815,58.92103871,67.78926428,8.868225565,58.92103871,1.024222048,0,8.523077029,8.523077029,0,389.8802785,380.175642,395.1086419,14.93299997,392.9798059,4.232918205,0,13.67503397,13.67503397,0,4.637579103,4.038317879,5.034807393,0.996489513,4.412270599,7.026003105,6.840618946,7.447244953,0.606626007,6.842587759,7.532539207,7.481782674,8.6456934,1.163910726,8.6456934,4.575603376,4.038317879,5.028204081,0.989886202,4.157678306,6.615312944,6.374532284,7.124679147,0.750146863,6.37728811,7.056267576,7.03779704,7.146162634,0.108365594,7.099058073,"1",5
"L7",-0.059781844,1.802829518,-0.228121133,-0.022783291,-0.125452212,0.205337842,0.038325835,0.080182348,-0.405563354,0.777885363,0.723929585,0.055159537,1.307214038,0.678149834,292.3202841,260.9183257,298.2880507,317.7544643,1.71407757,-0.797622714,-0.597112579,1.394735293,-54.19539796,-8.218373411,50.69841906,1.935670999,-0.303659176,-0.439587751,-0.450902832,0.198602467,0.21072224,1.948152478,1.954991282,0.039628714,0.034067657,-12.82842212,-4.610048704,0.281107751,0.029025405,0.053955777,0.529328676,317.6658126,0.17484924,19.02252936,3.754954949,12.59803322,32.84364759,390.3324494,331.952443,0.77810819,1.282876989,1.175554403,1.403333306,0.227778903,1.352677245,4.94755439,3.965597965,7.734826083,3.769228118,6.493843632,3.385128325,2.829232453,3.930454212,1.101221759,3.502394227,0.189464386,-0.640803521,2.315825838,2.956629359,1.696255361,-3.574592711,-6.246280049,-2.445967075,3.800312974,-5.198649589,0.927989616,0.875135379,0.947343632,0.072208253,0.875135379,18.59646964,15.79480679,24.8592045,9.064397709,24.8592045,55.54336966,51.80051982,69.44283953,17.64231971,51.80051982,11.62698496,10.01349116,12.81337792,2.79988676,11.41395749,16.04041371,14.83511162,27.89741485,13.06230323,15.13110264,55.99522608,37.42611615,63.91674427,26.49062812,59.15918054,96.91792497,93.41783709,100.8290011,7.41116401,98.94804586,4.17087226,3.027893975,15.57979573,12.55190176,3.027893975,35.36811694,26.28887046,55.60361532,29.31474486,26.28887046,0,0,0,15.67692143,14.83511162,21.85940728,7.024295659,15.13110264,0,0,0,96.91784027,92.32670229,100.8290011,8.502298804,98.94804586,55.13931271,51.80051982,64.35555929,12.55503947,51.80051982,0.404056949,0,6.291116497,6.291116497,0,316.8354466,304.2558096,318.535802,14.27999236,318.1838638,0.827339313,0,10.15636848,10.15636848,0,4.381598493,3.439563811,4.593257404,1.153693593,4.506486357,6.744885148,6.324707196,6.809449764,0.484742568,6.5858274,7.819549287,7.65908993,7.861115647,0.202025717,7.696080931,4.188141959,3.439563811,4.480663611,1.0410998,4.278165637,6.354100994,6.043272842,6.493950267,0.450677425,6.137342167,7.331124184,7.181869872,7.398708589,0.216838717,7.232377828,"1",6
"L8",-0.0482304,1.860160207,-0.22839,-0.02949,-0.12894,0.1989,0.041793674,0.06051,-0.39438,0.79827,0.74625,0.04402,1.15315,0.45545,296.1527,284.3266,284.4367,319.6948,1.783838048,-0.72827,-0.728227,1.456498,-54.177169,-7.18,49.37,1.90175,-0.30781,-0.47689,-0.476896667,0.22426,0.224266667,1.95295,1.95295,0.03714,0.037103333,-13.92098384,-6.740983837,0.2765862,0.0158004,0.05202,0.35488,302.7159072,0.167446513,19.45,3.92,13.27,34.77,344.20752,307.53512,0.77233,1.460510726,1.460510726,1.460510726,0,1.460510726,4.561356291,4.561356291,4.561356291,0,4.561356291,1.882705291,1.882705291,1.882705291,0,1.882705291,1.841550763,1.841550763,1.841550763,0,1.841550763,-3.724256054,-3.724256054,-3.724256054,0,-3.724256054,0.932082024,0.932082024,0.932082024,0,0.932082024,18.07622581,18.07622581,18.07622581,0,18.07622581,50.68872317,50.68872317,50.68872317,0,50.68872317,11.48926263,11.48926263,11.48926263,0,11.48926263,13.88438429,13.88438429,13.88438429,0,13.88438429,61.42008783,61.42008783,61.42008783,0,61.42008783,86.83775327,86.83775327,86.83775327,0,86.83775327,1.337712053,1.337712053,1.337712053,0,1.337712053,25.41766543,25.41766543,25.41766543,0,25.41766543,0,0,0,13.88438429,13.88438429,13.88438429,0,13.88438429,0,0,0,86.83775327,86.83775327,86.83775327,0,86.83775327,50.68872317,50.68872317,50.68872317,0,50.68872317,0,0,0,0,0,302.7159072,302.7159072,302.7159072,0,302.7159072,0,0,0,0,0,4.287868079,4.287868079,4.287868079,0,4.287868079,6.323592295,6.323592295,6.323592295,0,6.323592295,7.181925015,7.181925015,7.181925015,0,7.181925015,4.278755456,4.278755456,4.278755456,0,4.278755456,6.029300445,6.029300445,6.029300445,0,6.029300445,6.914110295,6.914110295,6.914110295,0,6.914110295,"1",7
"L9",-0.044338975,1.840157782,-0.218292271,-0.054109579,-0.136200925,0.164182692,0.056494232,0.022655437,-0.348938622,0.7809325,0.764973424,0.002050072,1.021587782,0.314130677,317.272652,303.5241081,323.9747237,324.3192241,1.825032699,-0.745201487,-0.744930577,1.490132063,-54.17531311,-11.99893109,48.47539546,1.882529722,-0.306313401,-0.480247451,-0.480254594,0.228840975,0.22886619,1.951895971,1.951907023,0.043899158,0.043877489,-21.39738108,-9.398449993,0.258267128,-0.015514844,0.015959076,0.240655282,459.1106985,0.152664011,21.0606989,4.780370007,13.59045223,38.36958888,515.2044482,433.1046409,0.717592195,1.100700938,1.099512349,1.388622849,0.2891105,1.388622849,6.844312013,6.834569204,9.204394424,2.36982522,9.204394424,2.812044231,2.793457754,7.314403053,4.5209453,7.314403053,2.766596539,-2.162186698,2.786943366,4.949130064,-2.162186698,-5.57864077,-5.58040112,-5.152216355,0.428184765,-5.152216355,0.921943386,0.891148473,0.922070512,0.030922039,0.891148473,19.4609821,19.44533351,23.25167139,3.806337876,23.25167139,70.08970723,63.87653496,70.11535623,6.238821264,63.87653496,15.5446136,11.32923922,15.56201535,4.232776137,11.32923922,19.32842879,19.32727211,19.60862046,0.281348352,19.60862046,95.28549301,61.00873194,95.42699311,34.41826117,61.00873194,134.1746763,134.1390293,142.8097441,8.670714736,142.8097441,3.126562602,3.105290919,8.279381245,5.174090326,8.279381245,23.93994782,23.71588554,78.21643975,54.50055421,78.21643975,0.208320948,0.209180931,0.209180931,18.46204564,18.46126306,18.6516177,0.190354647,18.6516177,0.99340088,0.997501802,0.997501802,129.6961006,129.6426295,142.6488472,13.00621774,142.6488472,67.52654996,62.9195322,67.54556849,4.626036287,62.9195322,2.563157266,0.957002759,2.569787736,1.612784977,0.957002759,445.6433976,445.6183918,451.7007642,6.082372424,451.7007642,13.4578891,4.639214576,13.49429404,8.855079463,4.639214576,5.253818878,4.247712001,5.257972252,1.010260251,4.247712001,7.526069097,7.525740513,7.605664838,0.079924325,7.605664838,6.98336117,6.972955611,9.503987301,2.53103169,9.503987301,5.06633284,4.155863792,5.070091406,0.914227614,4.155863792,7.117374709,7.117187335,7.162763869,0.045576534,7.162763869,6.78674299,6.783831984,7.491900441,0.708068457,7.491900441,"1",8
"L10",-0.0376375,1.860159885,-0.23821,-0.04316,-0.140685,0.19505,0.050736399,0.04582,-0.39844,0.80574,0.78555,0.0056,1.12031,0.39734,301.0801,288.9218,289.1366,325.1818,1.804477879,-0.736877,-0.736473,1.47335,-54.164252,-5.28,49.57,1.9063,-0.32062,-0.48988,-0.489913333,0.21163,0.211683333,1.95313,1.953143333,0.03774,0.03772,-12.96924022,-7.689240224,0.2860785,0.0013777,0.02019,0.31457,328.8549334,0.154661805,19.04,4.64,10.11,34.27,357.90566,322.80442,0.755191,0.463124692,0.463124692,0.463124692,0,0.463124692,6.351720798,6.351720798,6.351720798,0,6.351720798,5.185927142,5.185927142,5.185927142,0,5.185927142,-2.55055712,-2.55055712,-2.55055712,0,-2.55055712,-2.635370021,-2.635370021,-2.635370021,0,-2.635370021,0.932953799,0.932953799,0.932953799,0,0.932953799,17.95302952,17.95302952,17.95302952,0,17.95302952,50.86129744,50.86129744,50.86129744,0,50.86129744,11.50390529,11.50390529,11.50390529,0,11.50390529,13.96491895,13.96491895,13.96491895,0,13.96491895,64.81468453,64.81468453,64.81468453,0,64.81468453,95.85096251,95.85096251,95.85096251,0,95.85096251,1.342941576,1.342941576,1.342941576,0,1.342941576,31.03627798,31.03627798,31.03627798,0,31.03627798,0,0,0,13.96491895,13.96491895,13.96491895,0,13.96491895,0,0,0,95.85096251,95.85096251,95.85096251,0,95.85096251,50.86129744,50.86129744,50.86129744,0,50.86129744,0,0,0,0,0,328.8549334,328.8549334,328.8549334,0,328.8549334,0,0,0,0,0,4.449644321,4.449644321,4.449644321,0,4.449644321,6.919859432,6.919859432,6.919859432,0,6.919859432,7.224825242,7.224825242,7.224825242,0,7.224825242,4.253705307,4.253705307,4.253705307,0,4.253705307,6.051845084,6.051845084,6.051845084,0,6.051845084,6.94342827,6.94342827,6.94342827,0,6.94342827,"1",9
"L11",-0.084457972,1.839747511,-0.180680014,0.00454844,-0.088065787,0.185228454,0.020944997,0.082263696,-0.319646978,0.86834394,0.837922692,0.029031781,1.16246142,0.380290719,360.20513,333.7043247,358.7077901,388.2033043,1.936590924,-0.817345663,-0.763544291,1.580889872,-54.19999548,-0.902954428,50.54971425,1.886010987,-0.271977051,-0.446797444,-0.450017764,0.24683782,0.253779132,1.946624748,1.949370996,0.047159504,0.044003277,-18.27748613,-17.3745317,0.221330631,0.043743315,0.030421247,0.294117481,555.2387854,0.139043138,20.33963948,5.332636155,12.12716029,39.47371651,640.222457,538.9149746,0.666606263,2.636934986,0.871871435,4.72945632,3.857584886,2.431555284,18.94646023,5.774139946,31.55214774,25.7780078,21.5286146,13.24520005,3.694642643,25.38889922,21.69425658,12.77399017,-0.587176477,-9.870761222,5.898680466,15.76944169,4.070514418,-12.65802357,-16.84450459,-4.383570113,12.46093448,-16.84450459,0.887573081,0.857941299,0.895113928,0.037172629,0.89185347,23.49063753,22.62402672,26.89498862,4.270961897,22.98871448,77.20512236,73.33046713,86.03611688,12.70564974,73.33046713,12.96931767,11.85742107,15.45637898,3.598957916,12.16177932,27.72064458,22.31542171,34.17179687,11.85637516,26.01269466,106.2027886,93.36188175,125.4019175,32.04003578,109.6991648,167.1634983,153.9532972,172.5556935,18.60239628,168.3405903,14.54388214,6.635219128,19.83348996,13.19827083,13.85091534,57.83335396,29.52313748,70.96597542,41.44283793,55.99144713,0.036795108,0.441371764,0.441371764,20.93540202,19.10972394,22.2233821,3.113658156,20.48822628,0.114478483,0.69587934,0.69587934,152.0418217,147.2888373,156.6210586,9.33222131,152.1160669,68.50887585,66.64295277,72.29397562,5.651022848,66.64295277,8.696246517,5.544340573,14.96062018,9.416279604,6.687514361,532.0401651,518.4707668,538.5238236,20.05305681,533.4420795,21.82041622,12.57052116,30.72898274,18.15846157,21.50013132,5.54094833,5.035591043,5.679096345,0.643505302,5.558046638,8.696045127,8.597056977,8.824454679,0.227397702,8.642401326,8.721602944,8.189196692,8.772725884,0.583529193,8.755444962,5.060255822,4.5630331,5.167101252,0.604068153,5.167101252,6.191875268,6.169524525,6.217836668,0.048312144,6.184573431,7.188707693,7.126510579,7.695818705,0.569308126,7.179184273,"1",10
