,cross,cross_angle,para,para_angle,Frequency_Bending_7-5,Cross_mag_Bending_7-5,Frequency_Bending_4-5,Cross_mag_Bending_4-5,atom_8_charge,atom_7_charge,atom_14_charge,atom_5_charge,atom_4_charge,diff_8-7_charge,diff_14-7_charge,diff_4-5_charge,B5_7-8,L_7-8,loc_B1_7-8,loc_B5_7-8,B1_8-7,B5_8-7,L_8-7,loc_B1_8-7,loc_B5_8-7,B1_8-9,B5_8-9,L_8-9,loc_B1_8-9,loc_B5_8-9,B1_6-7,B5_6-7,L_6-7,loc_B1_6-7,loc_B5_6-7,B5_6-5,L_6-5,loc_B1_6-5,loc_B5_6-5,bond_length_5-8,bond_length_6-7,bond_length_4-6,bond_length_4-7,"dihedral_[5, 6, 7, 8]","dihedral_[4, 6, 7, 8]","angle_[2, 5, 6]",aniso,iso,output
LS1621_optimized,0.01139449,0.959824184,0.538334862,0.589728507,0.935508374,0.728119309,0.92504012,0.563861187,0.501113035,0,1,0.55147769,0.334873894,0.83836296,1,0.221130221,0.004545455,0.00154321,0,0.738013699,0,0.331491713,0.013274336,0.996,0.578828829,0,0.001824818,0.011494253,0.438914027,0.001996008,0,0.005291005,0.004255319,0,0.047904192,0.384057971,0.243559719,0.967741935,0.739750446,0.048814916,0.015133184,0.196732928,0.030518653,0.038236468,0.94582912,0.834662526,0.134086218,0.866498681,0.04739536
LS1622_optimized,0.458238188,0.934083252,0.434222639,0.203815628,0,0.604465201,0.977376981,0.138670937,1,0.249969941,0.957171717,1,0.505083851,1,0.865480794,0.105762788,0.827272727,0.041666667,0,0.63869863,0.226315789,0.328729282,0.017699115,0.476,0.587837838,0.212903226,0.003649635,0.53256705,1,0,0.652173913,0.005291005,0.595744681,1,0.050898204,0.384057971,0.245901639,0.967741935,0.739750446,0.02355121,0,0,0,0.016064959,0.969721861,0.528266189,0.240429923,0.992444024,0.26486515
LS1624_optimized,0.461727993,0.892441553,0.524126818,0.288487534,0.994114944,0,0.906409581,1,0.553302003,0.695082361,0.804929293,0.06837937,0.300541397,0.395287309,0.57746842,0.471409426,0.004545455,0.666666667,0.991666667,0.738013699,0.131578947,0.337016575,0,0.732,0.563063063,0.24516129,0.253649635,0.69348659,0.604072398,0.842315369,0.173913043,0.707231041,0.70212766,0.711864407,0.550898204,0.387681159,0.243559719,0.967741935,0.739750446,0.017901728,0.085570743,0.119791656,0.037971138,0.060894744,0.924932344,0.792373496,0.681638693,0.035464249,1.027102211
LS1630_optimized,0.002002261,0.026446671,0.524830064,0.092317919,0.000348595,0.006262352,0.928239731,0.042581292,0.349492951,0.844054347,0,0.156268109,0.258550112,0.156593634,0,0.385079294,0.618181818,0,0,0,0.078947368,0.331491713,0.013274336,0.996,0.578828829,0,0.379562044,0.01532567,0.441176471,0.716566866,0.115942029,0.380952381,0.004255319,0.581355932,0.233532934,0.384057971,0.243559719,0.983870968,0.740641711,0.054429428,0.127187032,0.291887872,0.059306937,0.038019195,0.945703968,0.968019515,0.268834456,0.929098573,0
LS1641_optimized,0.078141223,0.501259727,0.0478278,0.253305966,0.938497242,0.066290878,0.088571826,0.057058392,0,0.482866418,0.615191919,0.03090593,0.098111713,0.171310459,0.547409126,0.321867322,1,0.160493827,1,0.241438356,0.078947368,0.334254144,0.008849558,0.996,0.572072072,0.2,0.23540146,0.352490421,0.438914027,0.847305389,0.420289855,0.223985891,0.408510638,0.920338983,0.655688623,0.387681159,0.243559719,0.967741935,0.739750446,0.037455915,0.093475805,0.125843863,0.0464175,0.045639601,0.938223688,0.74700726,0.374967873,0,1.881807985
LS1642_optimized,0.580731603,0.972397418,0.530894236,0.361926957,0.962029097,0.151909388,0.059341799,0.544335389,0.543779372,0.667909102,0.802989899,0.132895499,0.289713456,0.407606449,0.587883475,0.424949743,0.290909091,0.827160494,1,0.979452055,0.668421053,0.32320442,0.030973451,0.176,0.601351351,0.980645161,0.607664234,0.272030651,0,0.258483034,0.956521739,0.901234568,0.578723404,0.603389831,0.428143713,0.384057971,0.243559719,0.983870968,0.740641711,0,0.063909132,0.144025775,0.04780247,0.018839337,0.994357913,0.879752472,0.949297091,0.022742372,1.881807985
LS1643_optimized,0.608446639,0,0.527307327,0.074687908,0.133693494,0.192342965,0.173823663,0.129622349,0.238189463,0.409041722,0.859474747,0.001545297,0.059685726,0.381314593,0.734931683,0.306343534,0.004545455,1,0.991666667,0.738013699,0.121052632,0.334254144,0.004424779,0.248,0.567567568,0.238709677,0.54379562,1,0.604072398,1,0.15942029,1,1,0.711864407,1,0.387681159,0.241217799,0.967741935,0.739750446,0.012050114,0.088455028,0.133471861,0.043071129,0.049468548,0.936199249,0.799682362,0.849036177,0.062206246,2.304447597
LS1661_optimized,0.017167792,0.948668373,0.513355491,0.128329714,0.956384057,0.21029993,0.098964736,0.486663506,0.277022013,0.37333173,0.838464646,0.050994785,0.048065496,0.431831335,0.736839392,0.26792495,0,0.163580247,0.991666667,0.738013699,0.063157895,0.331491713,0.013274336,0.996,0.576576577,0.193548387,0,0,0.441176471,0.001996008,0.115942029,0.197530864,0,0.603389831,0,0.384057971,0.243559719,0.983870968,0.739750446,0.041789689,0.084051285,0.203412646,0.041781531,0.036272079,0.947109774,0.880248108,0.233451458,0.871409671,2.304447597
LS1663_optimized,0.03405081,0.555256624,0.5304631,0.241353327,0.165671545,1,1,0.129339276,0.250680188,0.05819406,0.982222222,0.128645934,0.280734187,0.630921869,0.963701985,0.419812374,0,0.330246914,1,0.738013699,0.557894737,0.334254144,0.013274336,0.208,0.578828829,0.683870968,0,0.214559387,0.452488688,0.000998004,0.652173913,0.333333333,0.208510638,0.63220339,0.473053892,0.384057971,0.243559719,0.983870968,0.740641711,0.045397421,0.041503056,0.208825628,0.038991286,0.035492044,0.948353349,0.910390826,0.419369913,0.905046679,1.743478581
LS1664_optimized,0.364574139,0.991448559,0.537046755,0,0.898355898,0.216223444,0.203312712,0.234187828,0.622062825,0.250811591,0.909090909,0,0.061270302,0.746754857,0.834441866,0.308577172,0.745454545,0.662037037,0.991666667,1,0.894736842,0.337016575,0.004424779,0,0.560810811,1,0.255474453,0.593869732,0.457013575,0.838323353,1,0.698412698,0.629787234,0.603389831,0.562874251,0.387681159,0.241217799,0.983870968,0.739750446,0.065315102,0.047393745,0.301235908,0.043215649,0.071805387,0.909714735,0.975267481,0.909786207,0.791083294,1.125606917
LS1688_optimized,1,0.671214158,0.393600461,0.791129595,1,0.18780852,0.094850147,0.053180761,0.275661637,1,0.344242424,0.359860923,0.854086888,0,0.152771333,0.771052044,1,0,0,0.23630137,0.931578947,0.70718232,0.411504425,0.092,0.786036036,0.206451613,0.989051095,0.379310345,0.438914027,0.375249501,0.086956522,0.23633157,0.4,0.920338983,0.646706587,0.561594203,0.238875878,0,0.002673797,0.827653028,0.956541543,0.114279392,0.807529687,0.882202002,0.173119632,0.241813133,0.938915067,0.883961231,1.369963165
LS1690_optimized,0.364574139,0.991448559,0.537046755,0,0.898355898,0.216223444,0.203312712,0.234187828,0.622062825,0.250811591,0.909090909,0,0.061270302,0.746754857,0.834441866,0.308577172,0.745454545,0.662037037,0.991666667,1,0.894736842,0.337016575,0.004424779,0,0.560810811,1,0.255474453,0.593869732,0.457013575,0.838323353,1,0.698412698,0.629787234,0.603389831,0.562874251,0.387681159,0.241217799,0.983870968,0.739750446,0.065314881,0.047393745,0.301235908,0.043215649,0.071806214,0.909714735,0.97530954,0.909786207,0.791083294,1.629255324
LS1714_target,0,0.903939961,0.56949679,0.189969494,0.990094675,0.536437923,0.918715128,0.004508568,0.190699975,0.509678971,0.148848485,0.444079583,0,0.280363787,0.238360402,0,0.618181818,0,0,0,0.084210526,0,0.008849558,1,0.54954955,0,0.379562044,0.01532567,0.441176471,0.716566866,0.115942029,0.380952381,0.004255319,0.581355932,0.233532934,0,0,0.967741935,0.573083779,0.058554719,0.125589346,0.403588536,0.053354312,0.009257347,0.980551997,0.571805878,0,0.82963242,0
LS1715_optimized,0.459368439,0.872672637,0.043530578,0.499561263,0.917845465,0.100591814,0.950798336,0,0.167697255,0.500300589,0.156848485,0.181958663,0.024164796,0.271434477,0.247486466,0.171990172,0.618181818,0,0,0,0.1,1,0.048672566,0.856,0,0.206451613,0.379562044,0.01532567,0.441176471,0.716566866,0.115942029,0.380952381,0.004255319,0.581355932,0.236526946,0.054347826,1,0.967741935,1,0.027034805,0.086880939,0.304878711,0.07645849,0.020447839,0.978475816,0.839427124,0.502768799,0.046216767,0.071140559
LS1716_optimized,0.135976836,0.503678238,0.070029526,0.296740691,0.025334455,0.093912982,0,0.081405608,0.322285432,0.828664182,0.466585859,0.215182538,0.317707646,0.148987185,0.304305233,0.40104981,1,0,0,0.238013699,0.121052632,0.356353591,0.053097345,0.74,0.599099099,0.083870968,0.226277372,0.375478927,0.438914027,0.854291417,0.15942029,0.229276896,0.404255319,0.920338983,0.652694611,0.362318841,0.306791569,0.967741935,0.757575758,0.055980323,0.005733214,0.234986342,0.037980485,0,0.983120392,0.360694943,0.196596441,0.006050195,0.04739536
LS1717_optimized,0.492573771,0.410432794,1,0.616429151,0.013617796,0.293536882,0.157466104,0.064528288,0.327850606,0.806300349,0.47410101,0.297276415,0.345437739,0.168085986,0.318690384,0.377038195,1,0,0,0.23630137,0.115789474,0.817679558,0.053097345,0.472,0.274774775,0,0.226277372,0.375478927,0.438914027,0.854291417,0.173913043,0.229276896,0.408510638,0.918644068,0.652694611,0.677536232,0.475409836,0.967741935,0.951871658,0.019437391,0.000599339,0.070144495,0.035431024,0.003888448,1,0.225267889,0.415740488,0.031638324,0
LS1687_optimized,0.967880699,0.270785388,0.418397836,0.412864256,0.90776728,0.355293404,0.888662573,0.072527951,0.178456592,0.37970422,0.692444444,0.27622175,0.807738017,0.361554361,0.640938386,0.780209962,1,0,0,0.23630137,0.910526316,0.430939227,0.5,0.472,0.47972973,0.174193548,0.806569343,0.379310345,0.438914027,0.26746507,0.057971014,0.23633157,0.4,0.922033898,0.646706587,0.365942029,0.320843091,0,0.756684492,0.806483795,1,0.089672286,0.907170593,0.895162145,0.164941874,0.565529023,0.919825538,0.952984661,1.53164576
LS1689_optimized,0.641621902,0.901174921,0,0.566128523,0.011993077,0.441547087,0.886571864,0.015394729,0.293841207,0.937477456,0.30779798,0.319876376,0.379374092,0.055146755,0.156328951,0.392673665,0.995454545,0,0,0.232876712,0.373684211,0.464088398,1,0.156,1,0.761290323,0.868613139,0.375478927,0.93438914,0.221556886,0,0.225749559,0.412765957,0.250847458,0.655688623,1,0.215456674,1,0.257575758,1,0.866176291,1,1,1,0,1,1,1,1.36996316
LS1685_optimized,0.906850667,1,0.37442022,1,0.994200877,0.348765336,0.972348885,0.078927932,0.717289142,0.78297463,0.816888889,0.652501449,0.969100753,0.444481191,0.547409126,0.699128881,0.827272727,0.035493827,0,0.63869863,1,0.635359116,0.561946903,0.668,0.918918919,0.174193548,1,0.536398467,0.438914027,0.362275449,0.594202899,0.001763668,0.595744681,0.603389831,0.05988024,0.543478261,0.238875878,0,0,0.591323845,0.838024251,0.111655719,0.790860745,0.787626834,0.279586611,0,0.908680245,0.988955349,1.74347858
LS1696_optimized,0.926843203,0.754468927,0.390598413,0.762919489,0.110005934,0.281750194,0.007125892,0.029247673,0.653104131,0.630034868,0.746666667,0.177322774,1,0.506738322,0.568187677,1,0.004545455,0.00154321,0,0.738013699,0.536842105,0.718232044,0.473451327,0.584,0.493243243,0.2,0.905109489,0.011494253,0.441176471,0.44510978,0,0,0.008510638,0.250847458,0.05988024,0.413043478,0.238875878,0,0.024064171,0.726790904,0.912671978,0.224030412,0.809117126,0.835530167,0.227516246,0.379183947,0.80223529,0.961085426,1.02710221
LS1700_optimized,0.733868308,0.997096646,0.966907121,0.897368584,0.105698131,0.245684864,0.003913479,0.168112123,0.22245651,0.416431684,0.086744352,0.343951203,0.435815364,0.413665109,0.199169291,0.510558069,0.131707317,0.593922652,0.125263158,0.733617021,0.293617021,0.199475066,0.01512605,0.003565062,0.771060456,0.712765957,0.210449927,0.195592287,0.295302013,0.748433303,0.111888112,0.541436464,0.189488243,0.136439268,0.525071633,0.538461538,0.19047619,1,0.024390244,0.025224163,0.220824449,0.784409448,0.117542985,0.00217409,0.998258846,0.862490125,0.123172301,0.029964388,0
LS1702_optimized,0.404064153,0.977648297,0.406646644,0.434427697,0.126335986,0,0.925080519,0.276768772,0.38323669,0.852730069,0.017878928,0.503896984,0.99393531,0.029557327,0.030314196,0.939064857,0.317073171,0.740331492,0.448421053,0.698723404,0.961702128,0.223097113,0.001680672,0.244206774,0.738354807,1,0.338171263,0.292011019,0.191754554,0.774395703,0.615384615,0.662983425,0.266943292,0.029950083,0.545845272,0.615384615,0.19047619,0.5,0.008130081,0.030486293,0.182550072,0.755105526,0.142877179,0.094303031,0.905390536,0.827619902,0.615386302,0.839472951,0
LS1703_optimized,0.664992132,0.923430034,0.890018806,0,0.038244951,0.035579387,0.107250948,0.334696705,0.569847127,0.866572674,0.012325943,0.741443578,0.942722372,0.112042892,0.022275072,0.787481146,0.338211382,0.767955801,0.743157895,1,0.446808511,0.204724409,0.008403361,0.32798574,0.765113974,0.64893617,0.507982583,0.575757576,0.189837009,0.540734109,0.202797203,0.806629834,0.560165975,0.136439268,0.349570201,0.538461538,0.19047619,1,0.024390244,0.010939535,0.217548657,0.726754799,0.142696322,1.99E-05,0.988500673,0.845973136,0.750402094,0.067922661,0
LS1704_optimized,0.822998317,0.970280153,0.959825413,0.469615116,0.996489692,0.179279768,0.185207389,0.381133491,0.453083817,0.914252756,0,0.521856998,1,0,0,0.936500754,0.001626016,0.878453039,0.596842105,0.582978723,0,0.202099738,0.011764706,0.68627451,0.768087215,0.186170213,0.531204644,0.252066116,0.437200384,0.772605192,0,0.852209945,0.230982019,0.332778702,0.534383954,0.538461538,0.19047619,1,0.024390244,0.015557802,0.227460668,0.715059438,0.123862209,0,0.995808108,0.848868624,0.197625453,0.059775459,0
LS1705_optimized,0.297615614,0,0.96689028,0.335606449,0.897617239,0.043347011,0.92627044,0.247330185,0.602530311,0.122019995,0.123217366,0.344967808,0.933456873,0.927687655,0.305151738,0.955656109,0.268292683,0.886740331,0.125263158,0.715744681,0.642553191,0.212598425,0.003361345,0.244206774,0.753221011,0.819148936,0.468795356,0.309917355,0.192713327,0.858549687,0.412587413,0.787292818,0.290456432,0.029950083,0.614613181,0.538461538,0.174603175,1,0.024390244,0.041138352,0.180940213,0.975385035,0.14233351,0.051606009,0.941235849,0.916187398,0.397151714,0,0
LS1706_optimized,0.449242504,0.964514944,0.825651893,0.264865143,0.999663695,0.006199615,0.897477179,0.220198296,0.037954665,0.235324276,0.123427706,0.283971535,0.930424528,0.511685455,0.275708448,0.980090498,0.001626016,0.595303867,0.125263158,0.583829787,0.029787234,0.215223097,0,0.684491979,0.75024777,0.191489362,0.204644412,0.191460055,0.25599233,0.753804834,0.020979021,0.541436464,0.170124481,0.136439268,0.52722063,0.615384615,0.174603175,0.5,0.016260163,0.012403287,0.209057863,0.680159637,0.133097497,0.050186493,0.945172722,0.812289495,0.942632179,0.065835976,0
LS1708_optimized,1,0.561223289,1,0.126604372,0.125566768,0.243236325,1,0.155364409,0.785187138,0.5526788,0.158638677,0.533717384,0.343328841,0.561039318,0.220807932,0.343288084,0.03902439,0.683701657,0.125263158,0.732765957,0.391489362,0.212598425,0,0.003565062,0.752229931,0.643617021,0.300435414,0.231404959,0.356663471,0.76007162,0.237762238,0.620165746,0.218533887,0.029950083,0.540114613,0.615384615,0.19047619,0.5,0.008130081,0.019233719,0.119609965,0.598394208,0.024734694,0.052583686,0.942241871,0.729012667,0.027028015,0.014204337,0
LS1709_optimized,0.946396648,0.895402755,0.299971931,0.186385408,1,0.190972823,0.996730165,0.095437622,0.0985767,0.66534222,0.149930588,0.672653338,0.338780323,0.082073137,0.184430897,0.277375566,0.219512195,0.716850829,0.637894737,0.956595745,0.323404255,0.212598425,0.001680672,0,0.755203171,0.404255319,0.445573295,0.460055096,0.190795781,0.570277529,0.125874126,0.755524862,0.443983402,0.136439268,0.377507163,0.538461538,0.206349206,0.5,0.016260163,0,0.159188438,0.469029991,0.063873488,0.034709221,0.960943651,0.728032579,0.218176102,0.045477553,0
