formula,R.sq,Q.sq,MAE,Model_id
"('NPA_1', 'NPA_6', 'diff_NBO_4_10', '-7-30-')",0.6966140270454417,0.5460687466806982,0.6411980898673912,0
"('NPA_6', 'diff_NBO_10_42', 'Dist(3, 9)', 'loc.B5_3_9')",0.6804763550300601,0.5355734582855772,0.6623116719930968,1
"('NPA_4', 'NPA_6', 'diff_NBO_10_42', 'dip_y_1')",0.672185254138124,0.5353065371517858,0.6531948389494642,2
"('NPA_1', 'NPA_6', 'diff_NBO_4_10', 'diff_NBO_10_42')",0.6909965320859601,0.5349931002451229,0.6743237165591095,3
"('NPA_6', 'diff_NBO_4_10', 'diff_NBO_10_42', 'dip_y_1')",0.6458909933295648,0.5326117777664867,0.6641778553105,4
"('dip_x_1', '-7-30-', 'Dist(4, 10)', 'Dist(32, 30)')",0.7099887468130999,0.5263098701190729,0.7185063340971644,5
"('NPA_1', 'NPA_6', 'diff_NBO_4_10', 'Dist(32, 30)')",0.6883520938548693,0.5224457923735397,0.6833353082288706,6
"('NPA_6', 'diff_NBO_4_10', 'diff_NBO_10_42', 'loc.B1_9_3')",0.6525791593535275,0.5192950979174217,0.7116975265492751,7
"('NPA_6', 'diff_NBO_10_42', 'dip_y_1', 'Dist(3, 9)')",0.6753653028711359,0.5162263050883397,0.6709474846798316,8
"('NPA_6', 'diff_NBO_10_42', 'Dist(3, 9)', 'loc.B1_3_9')",0.6909857281854406,0.512313186234812,0.7079768345226707,9
"('NPA_6', 'diff_NBO_4_10', 'diff_NBO_10_42')",0.6146284394448803,0.5085820274633543,0.7132959131314276,10
"('diff_NBO_4_10', 'diff_NBO_10_42', '-7-30-', 'Dist(32, 30)')",0.6283911424203024,0.49710379171336394,0.6987660805968605,11
"('NPA_1', 'NPA_6', 'diff_NBO_10_42', 'Dist(3, 9)')",0.6761128519032422,0.4913472364928553,0.6871146307748554,12
"('NPA_6', 'NPA_43', 'diff_NBO_4_10', 'diff_NBO_10_42')",0.6200978368573117,0.4904951953569282,0.7398410966570126,13
"('diff_NBO_4_10', 'diff_NBO_10_42', 'Aniso.Polar')",0.6396423698420275,0.48582857061984075,0.7241714661441848,14
"('NPA_4', 'NPA_5', 'NPA_6', 'diff_NBO_10_42')",0.6427755104917792,0.48376836599984663,0.7015879406858478,15
"('NPA_7', 'NPA_9', 'NPA_30', 'diff_NBO_4_10')",0.6817362315249287,0.4810587464629307,0.6847013365136828,16
"('NPA_1', 'NPA_4', 'NPA_6', 'diff_NBO_10_42')",0.6749044583813492,0.4782386383783379,0.6706527142302228,17
"('NPA_6', 'diff_NBO_4_10', 'diff_NBO_10_42', 'Total_1')",0.6248993640374481,0.4772699475364641,0.7458187271056033,18
"('NPA_32', 'diff_NBO_4_10', '-7-30-', 'Dist(32, 30)')",0.6038238862945535,0.4764326594559818,0.6500378562785754,19
"('NPA_6', 'diff_NBO_10_42', 'Dist(3, 9)', 'loc.B1_9_3')",0.6455701849490147,0.47547960325471716,0.7112809321692474,20
"('NPA_6', 'NPA_7', 'diff_NBO_4_10', 'diff_NBO_10_42')",0.6367435149041669,0.4743839022360242,0.7369182305474424,21
"('NPA_6', 'diff_NBO_4_10', 'diff_NBO_10_42', 'Iso.Polar')",0.6459065740885754,0.47252704089180897,0.7583083052946288,22
"('NPA_6', 'diff_NBO_10_42', 'Dist(3, 9)')",0.6234539929598844,0.47200109787163214,0.7191083202371351,23
"('NPA_6', 'diff_NBO_4_10', 'diff_NBO_10_42', 'loc.B1_3_9')",0.6196140000209003,0.4712312759125802,0.7343201467675046,24
"('diff_NBO_4_10', 'diff_NBO_10_42', 'Aniso.Polar', 'loc.B1_9_3')",0.6475434858710877,0.47077413983151317,0.7195241658888314,25
"('NPA_6', 'diff_NBO_4_10', 'diff_NBO_10_42', 'Aniso.Polar')",0.6526247006090491,0.47005698844760535,0.7379868082661981,26
"('NPA_7', 'NPA_30', 'diff_NBO_4_10', 'diff_NBO_3_9')",0.6780008208612622,0.4687408255316934,0.7176320343142975,27
"('NPA_6', 'NPA_30', 'diff_NBO_4_10', 'diff_NBO_10_42')",0.6195466575784276,0.4687383680767,0.7438999814975742,28
"('NPA_4', 'NPA_6', 'diff_NBO_10_42')",0.6145176501897593,0.467758828659513,0.7223638892808377,29
"('diff_NBO_4_10', 'diff_NBO_10_42', 'dip_y_1', 'Aniso.Polar')",0.6653310158040597,0.46726000304744886,0.7687459687122663,30
"('NPA_43', 'diff_NBO_4_10', 'diff_NBO_10_42', 'loc.B1_9_3')",0.6022884974244793,0.466742589281931,0.7042610673508007,31
"('NPA_5', 'NPA_6', 'diff_NBO_4_10', 'diff_NBO_10_42')",0.6232903975498978,0.4661960914486637,0.7491068741978235,32
"('NPA_43', 'diff_NBO_4_10', 'diff_NBO_10_42', 'Dist(32, 30)')",0.6135258441163327,0.4644961918485715,0.7602967272103993,33
"('NPA_6', 'diff_NBO_4_10', 'diff_NBO_10_42', 'loc.B5_9_3')",0.616005443589642,0.46386193706465895,0.7580030656002391,34
"('NPA_4', 'NPA_6', 'diff_NBO_10_42', 'loc.B1_9_3')",0.6391158379154439,0.461971041204409,0.7174644645422494,35
"('NPA_5', 'NPA_6', 'diff_NBO_10_42', 'Dist(3, 9)')",0.6409789320017545,0.4614087525970373,0.7142963916170275,36
"('NPA_1', 'NPA_6', 'NPA_30', 'diff_NBO_4_10')",0.6356703788305009,0.4601613708391782,0.8018257738141955,37
"('NPA_6', 'diff_NBO_4_10', 'diff_NBO_10_42', 'dip_x_1')",0.6147824421268804,0.4597776956506079,0.7656204244451454,38
"('diff_NBO_4_10', 'diff_NBO_10_42', 'dip_x_1', 'Aniso.Polar')",0.6402581268099347,0.457866319262229,0.749774007959091,39
"('NPA_32', 'diff_NBO_4_10', 'diff_NBO_10_42')",0.5945737380937125,0.45737206873296166,0.7367123572104278,40
"('NPA_43', 'diff_NBO_4_10', 'diff_NBO_10_42', '-7-30-')",0.605328702162676,0.4570442057278601,0.7626936944658718,41
"('NPA_6', 'diff_NBO_10_42', 'dip_z_1', 'Dist(3, 9)')",0.6430251218581182,0.45651703416361933,0.7459015783132419,42
"('diff_NBO_4_10', 'diff_NBO_10_42', 'Aniso.Polar', 'loc.B5_9_3')",0.6398881672130634,0.4560726682827019,0.7596489511147198,43
"('-7-30-', 'Dist(4, 10)', 'Dist(32, 30)', 'loc.B5_9_3')",0.7094772501163922,0.45544348619646113,0.8474494357781044,44
"('NPA_6', 'diff_NBO_4_10', 'diff_NBO_10_42', 'loc.B5_3_9')",0.6149259481644445,0.45528234358920283,0.7672361007658695,45
"('NPA_32', 'NPA_43', 'diff_NBO_4_10', 'diff_NBO_10_42')",0.6036937114477978,0.45475155414455704,0.7165017312775973,46
"('NPA_4', 'NPA_6', 'diff_NBO_10_42', 'loc.B1_3_9')",0.6307609673303513,0.4540113739860385,0.7227669789599449,47
"('NPA_1', 'NPA_6', 'NPA_42', 'diff_NBO_4_10')",0.6567235149447934,0.453803258871866,0.7088813641031244,48
"('NPA_5', 'diff_NBO_4_10', 'diff_NBO_10_42', 'Aniso.Polar')",0.6462505587435065,0.4527967869341809,0.7780015472774008,49
